### ТАБЛИЦА: store ###
city,store_location,store_name,store_number,store_id,address,zip_code,county_id
JOHNSTON,POINT(-93.697684 41.673355),WALGREENS #05944 / JOHNSTON,4730,103,6200 MERLE HAY RD,50131.0,1
LA PORTE CITY,POINT(-92.196899965 42.318655011),CASEY'S GENERAL STORE #66 / LAPORTE CITY,5612,104,402 HWY 218 N,50651.0,9
NORTH ENGLISH,POINT(-92.076463 41.51122),CASEY'S GENERAL STORE #2488 / N ENGLISH,5581,105,504 S MAIN ST,52316.0,15
ANAMOSA,POINT(-91.290834 42.108203),"GIGGLE JUICE LIQUOR STATION, LLC",5236,106,600 W MAIN ST,52205.0,48
DOON,POINT(-96.234214 43.279316),R&L FOODS,5458,107,213 MAIN ST.,51235.0,3
MUSCATINE,POINT(-91.035301 41.450849),HY-VEE FOOD STORE / MUSCATINE,2573,108,2400 2ND AVE,52761.0,49
IOWA CITY,POINT(-91.518868 41.676095),HY-VEE FOOD STORE / IOWA CITY,2622,109,1125 N DODGE ST,52240.0,7
CARROLL,POINT(-94.853591 42.064155),HY-VEE FOOD STORE / CARROLL,2593,110,905 US HIGHWAY 30 WEST,51401.0,34
DAVENPORT,POINT(-90.513769 41.574973),HY-VEE #4 / DAVENPORT,2635,111,4064 E 53RD ST,52807.0,5
WATERLOO,POINT(-92.376624 42.471767),HY-VEE FOOD STORE #1 / WATERLOO,2575,112,2834 ANSBOROUGH AVE,50702.0,9
DES MOINES,POINT(-93.699818 41.62953),TARGET STORE T-2041 / DES MOINES,3877,113,5901 DOUGLAS AVE,50322.0,1
DES MOINES,POINT(-93.622454 41.584842),HY-VEE # 6/ DES MOINES,2673,114,420 COURT AVE,50309.0,1
WEST DES MOINES,POINT(-93.809473 41.563571),WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,6242,115,375 SOUTH JORDAN CREEK PARKWAY,50266.0,6
DES MOINES,POINT(-93.619788 41.605706),"CENTRAL CITY LIQUOR, INC.",2190,116,1460 2ND AVE,50314.0,1
DUBUQUE,POINT(-90.737821 42.515289),SAM'S CLUB 4973 / DUBUQUE,3944,117,4400 ASBURY RD,52002.0,13
WINDSOR HEIGHTS,POINT(-93.718027 41.599172),SAM'S CLUB 6344 / WINDSOR HEIGHTS,3420,118,1101  73RD ST,50311.0,1
DES MOINES,POINT(-93.61374 41.605828),CENTRAL CITY 2,4829,119,1501 MICHIGAN AVE,50314.0,1
CEDAR RAPIDS,POINT(-91.67969 42.031819),SAM'S CLUB 8162 / CEDAR RAPIDS,3385,120,2605 BLAIRS FERRY RD NE,52402.0,12
DES MOINES,POINT(-93.673222 41.600361),HY-VEE DRUGSTORE / UNIVERSITY / DSM,2626,121,4100 UNIVERSITY AVE,50311.0,1
DES MOINES,POINT(-93.596754 41.554101),HY-VEE #3 / BDI / DES MOINES,2633,122,3221 SE 14TH ST,50320.0,1
SWISHER,POINT(-91.677564118 41.831322653),CEDAR RIDGE VINEYARDS (ET),9001,123,1441 MARAK RD NW,52338.0,7
IOWA CITY,POINT(-91.530439 41.642724),HY-VEE WINE AND SPIRITS / IOWA CITY,2512,124,1720 WATERFRONT DR,52240.0,7
MT PLEASANT,POINT(-91.539034 40.978416),WAL-MART 0784 / MT PLEASAN,3790,125,1045 N GRAND AVE,52641.0,50
CEDAR RAPIDS,POINT(-91.659875 41.97574),BENZ DISTRIBUTING,3773,126,501 7TH AVE SE,52401.0,12
INDEPENDENCE,POINT(-91.89032 42.45416),CASEY'S GENERAL STORE #3292,5745,127,1906 3RD AVE SE,50644.0,65
IOWA CITY,POINT(-91.575636 41.650842),FAREWAY STORES #950 / IOWA CITY,4161,128,2530 WESTWINDS DR,52246.0,7
COUNCIL BLUFFS,POINT(-95.836515 41.270824),SUPER SAVER IV,3443,129,1141 N BROADWAY,51503.0,10
COUNCIL BLUFFS,POINT(-95.878434012 41.234538984),CASEY'S #6127 / COUNCIL BLUFFS,10097,130,2711 SOUTH 24TH STREET,51501.0,10
COUNCIL BLUFFS,POINT(-95.867459 41.27737),WAL-MART 3150 / COUNCIL BLUFFS,5077,131,1800 N 16TH ST,51501.0,10
HARLAN,POINT(-95.339881 41.650658),HY-VEE WINE AND SPIRITS / HARLAN,2650,132,1808 23RD ST,51537.0,31
NEWTON,POINT(-93.033984961 41.696758993),HY-VEE FOOD STORE #1 (1449) / NEWTON,2517,133,1501 FIRST AVENUE EAST,50208.0,38
DENISON,POINT(-95.348601 42.012395),HY-VEE WINE AND SPIRITS / DENISON,2595,134,"1620  4TH AVE, SOUTH",51442.0,51
WAVERLY,POINT(-92.475403 42.712263),HY-VEE / WAVERLY,2651,135,1311 4 STREET SW,50677.0,4
SIOUX CITY,POINT(-96.373252 42.538578),FAREWAY STORES #019 / SIOUX CITY,4200,136,4016 INDIAN HILLS DR,51108.0,8
CEDAR RAPIDS,POINT(-91.65109 42.03521),TARGET STORE T-1768 / CEDAR RAPIDS,3707,137,1030 BLAIRS FERRY RD,52402.0,12
DAVENPORT,POINT(-90.548919 41.556781),HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,2614,138,1823 E KIMBERLY RD,52807.0,5
IOWA CITY,POINT(-91.52984 41.6636),JOHN'S GROCERY,2285,139,401 EAST MARKET ST,52240.0,7
AMES,POINT(-93.618911 42.022854),CYCLONE LIQUORS,4129,140,626 LINCOLN WAY,50010.0,36
CEDAR RAPIDS,POINT(-91.63913 42.04671),HY-VEE DRUGSTORE #6 / CEDAR RAPIDS,2618,141,505 BOYSON RD NE,52402.0,12
DAVENPORT,POINT(-90.598528027 41.573777991),FAREWAY STORES #987 / DAVENPORT,4196,142,1635 WEST 53RD ST,52806.0,5
KEOKUK,POINT(-91.38774 40.40001),KEOKUK SPIRITS,2191,143,1013 MAIN,52632.0,28
MARSHALLTOWN,POINT(-92.912817 42.039205),HY-VEE FOOD STORE / MARSHALLTOWN,2544,144,802 SOUTH CENTER,50158.0,18
DES MOINES,POINT(-93.64495 41.54275),HY-VEE FOOD STORE (1148) / FLEUR / DSM,2561,145,4605 FLEUR DRIVE,50321.0,1
DES MOINES,POINT(-93.62452 41.585651),DOWNTOWN PANTRY,4997,146,"218, 6TH AVE #101",50309.0,1
KEOKUK,POINT(-91.390063 40.402224),SITE FOOD MART,4993,147,"1301, MAIN ST",52632.0,28
HIAWATHA,POINT(-91.672961 42.044452),QUICK MART / HIAWATHA,4876,148,"655, ROBBINS RD",52233.0,12
MARION,POINT(-91.605094 42.033366),SMOKIN' JOE'S #10 TOBACCO AND LIQUOR OUTLET,4180,149,480 7TH AVE,52302.0,12
CEDAR RAPIDS,POINT(-91.67706 41.962419),HY-VEE / DRUGTOWN #1 / CEDAR RAPIDS,2509,150,1520 6TH ST SW,52404.0,12
CEDAR RAPIDS,POINT(-91.66808 42.03348),BIG DISCOUNT LIQUOR,5636,151,5427  CENTER POINT RD,52402.0,12
OTTUMWA,POINT(-92.400693 41.010401),IOWA LIQUOR & TOBACCO,5374,152,1021 EAST MAIN STREET,52501.0,39
DAVENPORT,POINT(-90.576054 41.522413),IOWA MINI MART,5482,153,234 W 3RD ST,52801.0,5
RAYMOND,POINT(-92.219401 42.466286),BEST DEALS / RAYMOND,6328,154,101 COMMERCIAL STREET,50667.0,9
DES MOINES,POINT(-93.568668 41.627702),WALGREENS #00359 / DES MOINES,4795,155,2545 E EUCLID AVE,50317.0,1
