invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-54239700015,2022-12-21,2590,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402.0,POINT(-91.65818 42.01089),,LINN,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-33570700002,2021-01-19,3731,WAL-MART 1241 / DAVENPORT,5811 ELMORE AVE,DAVENPORT,52807.0,POINT(-90.525525 41.580212),82,SCOTT,1012100.0,CANADIAN WHISKIES,260.0,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-39896400020,2021-09-08,3789,WAL-MART 1393 / OSKALOOSA,2203 A AVENUE WEST,OSKALOOSA,52577.0,POINT(-92.669924 41.298516),62,MAHASKA,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-57259800002,2023-04-05,3980,WAL-MART 1721 / IOWA CITY,919 HWY 1 WEST,IOWA CITY,52246.0,POINT(-91.551315641 41.644087616),,JOHNSON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-31372800003,2020-10-26,4182,FAREWAY STORES #008 / DYERSVILLE,1207  12TH AVE SE,DYERSVILLE,52040.0,POINT(-91.111904 42.475277),31,DUBUQUE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-25741300003,2020-03-10,3742,WAL-MART 1625 / LEMARS,1111 HOLTON DR,LE MARS,51031.0,POINT(-96.185499 42.780675),75,PLYMOUTH,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-31412600122,2020-10-27,2594,HY-VEE FOOD STORE / SIOUX CITY,4500 SERGEANT ROAD,SIOUX CITY,51106.0,POINT(-96.346969 42.447396),97,WOODBURY,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-31655800003,2020-11-04,3622,WAL-MART 1415 / SPIRIT LAKE,2600 HWY 71,SPIRIT LAKE,51360.0,POINT(-95.126535 43.416452),30,DICKINSON,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-31540800007,2020-10-30,4291,FAREWAY STORES #597 / CRESTON,105 E ADAMS ST,CRESTON,50801.0,POINT(-94.237509 40.715722),88,UNION,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-48657600082,2022-06-24,2506,HY-VEE #1044 / BURLINGTON,3140 AGENCY,BURLINGTON,52601,POINT(-91.136655 40.814666),29,DES MOINES,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,17.49,26.24,24,629.76,18.0,4.75
