invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-57832100006,2023-04-25,9001,CEDAR RIDGE VINEYARDS,1441 MARAK RD NW,SWISHER,52338.0,POINT(-91.677564118 41.831322653),,JOHNSON,1011100.0,BLENDED WHISKIES,125,CEDAR RIDGE VINEYARDS LL,27464,CEDAR RIDGE WHEAT WHISKEY,6,750,18.67,28.01,24,672.24,18.0,4.75
INV-31017500102,2020-10-14,2642,HY-VEE WINE AND SPIRITS / PELLA,512 E OSKALOOSA,PELLA,50219.0,POINT(-92.899277 41.396961),63,MARION,1011100.0,BLENDED WHISKIES,154,DUNKEL CORPORATION / IOWA DISTILLING,27629,PRAIRIE FIRE,12,750,9.09,13.64,24,327.36,18.0,4.75
INV-14689700001,2018-09-26,9002,MISSISSIPPI RIVER DISTILLERY,303 N CODY RD,LECLAIRE,52753,POINT(-90.343594 41.599733),82,SCOTT,1011300.0,SINGLE BARREL BOURBON WHISKIES,306,MISSISSIPPI RIVER DISTIL,27677,CODY ROAD SINGLE BARREL,6,750,25.0,37.5,24,900.0,18.0,4.75
INV-51976600097,2022-10-11,2549,HY-VEE FOOD STORE / INDIANOLA,910 N JEFFERSON,INDIANOLA,50125,,,WARREN,1011100.0,BLENDED WHISKIES,65,JIM BEAM BRANDS,27682,JIM BEAM KENTUCKY FIRE,12,750,11.0,16.5,24,396.0,18.0,4.75
INV-51849700005,2022-10-06,2572,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613,POINT(-92.435236 42.512789),,BLACK HAWK,1011100.0,BLENDED WHISKIES,65,JIM BEAM BRANDS,27682,JIM BEAM KENTUCKY FIRE,12,750,11.0,16.5,24,396.0,18.0,4.75
INV-47136400013,2022-05-05,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023.0,POINT(-93.621928 41.705447),77,POLK,1011100.0,BLENDED WHISKIES,492,WESTERN SPIRITS BEVERAGE,27697,BIRD DOG APPLE,6,750,11.5,17.25,24,414.0,18.0,4.75
INV-30877100007,2020-10-09,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT(-93.613739 41.60572),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,27783,JIM BEAM APPLE,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-23729000038,2019-12-06,3651,WAL-MART 1491 / INDIANOLA,1500 NORTH JEFFERSON,INDIANOLA,50125,,91,WARREN,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,27783,JIM BEAM APPLE,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-38130700007,2021-07-07,4312,I-80 LIQUOR / COUNCIL BLUFFS,2411 S 24TH ST #1,COUNCIL BLUFFS,51501.0,POINT(-95.8792 41.238092),78,POTTAWATTAMIE,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,27783,JIM BEAM APPLE,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-26860700047,2020-04-27,2573,HY-VEE FOOD STORE / MUSCATINE,2400 2ND AVE,MUSCATINE,52761.0,POINT(-91.035138 41.451349),70,MUSCATINE,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,27783,JIM BEAM APPLE,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-35501300001,2021-04-01,4971,FAREWAY STORES #138 / PLEASANT HILL,"5500, E UNIVERSITY AVE",PLEASANT HILL,50327.0,POINT(-93.505732 41.599274),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,154.0,DUNKEL CORPORATION / IOWA DISTILLING,27832,IOWA DISTILLING COMPANY STRAIGHT BOURBON WHISKEY,6,750,19.95,29.93,24,718.32,18.0,4.75
INV-50074100003,2022-08-04,2515,HY-VEE FOOD STORE #1 / MASON CITY,2400 4TH ST SW,MASON CITY,50401,POINT(-93.235588 43.148451),,CERRO GORDO,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,28043,JIM BEAM VANILLA,12,750,11.0,16.5,24,396.0,18.0,4.75
INV-25325300002,2020-02-19,5230,POINT LIQUOR & TOBACCO,"3221, CENTER POINT RD NE",CEDAR RAPIDS,52402,POINT(-91.663629 42.01133),57,LINN,1042100.0,IMPORTED DRY GINS,35,BACARDI USA INC,28236,BOMBAY SAPPHIRE GIN,12,750,13.5,20.25,24,486.0,18.0,4.75
INV-31067400088,2020-10-16,2505,HY-VEE WINE AND SPIRITS / BOONE,1111  8TH ST,BOONE,50036.0,POINT(-93.876107 42.063831),8,BOONE,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,28279,JIM BEAM PEACH,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-29556000137,2020-08-18,2651,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677.0,POINT(-92.475403 42.712263),9,BREMER,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,28279,JIM BEAM PEACH,12,750,10.5,15.75,24,378.0,18.0,4.75
INV-35234100010,2021-03-23,2663,HY-VEE FOOD STORE / URBANDALE,8701 DOUGLAS,URBANDALE,50322.0,POINT(-93.739105 41.629364),77,POLK,1042100.0,IMPORTED DRY GINS,300.0,MCCORMICK DISTILLING CO.,28350,BROKERS GIN,12,750,11.5,17.25,24,414.0,18.0,4.75
INV-52080200044,2022-10-13,6242,WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,375 SOUTH JORDAN CREEK PARKWAY,WEST DES MOINES,50266,POINT(-93.80947 41.56317),,DALLAS,1042100.0,IMPORTED DRY GINS,357,PALM BAY INTERNATIONAL,28465,DRUMSHANBO GUNPOWDER GIN,6,750,20.84,31.26,24,750.24,18.0,4.75
INV-15135300028,2018-10-18,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT(-93.613739 41.60572),77,POLK,1042100.0,IMPORTED DRY GINS,240.0,WILLIAM GRANT & SONS INC,28627,HENDRICK'S GIN,6,1000,21.17,31.76,18,571.68,18.0,4.75
INV-41451100015,2021-10-28,2587,HY-VEE FOOD STORE / JOHNSTON,5750 MERLE HAY ROAD,JOHNSTON,50131.0,POINT(-93.697731 41.665172),77,POLK,1042100.0,IMPORTED DRY GINS,65.0,JIM BEAM BRANDS,28778,ROKU GIN,6,750,16.5,24.75,24,594.0,18.0,4.75
INV-39761000081,2021-09-02,2665,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,50263.0,POINT(-93.854477 41.615059),25,DALLAS,1042100.0,IMPORTED DRY GINS,260,DIAGEO AMERICAS,28858,TANQUERAY SEVILLA ORANGE,12,750,13.5,20.25,24,486.0,18.0,4.75
INV-27027100072,2020-05-05,2651,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677.0,POINT(-92.475403 42.712263),9,BREMER,1042100.0,IMPORTED DRY GINS,260,DIAGEO AMERICAS,28866,TANQUERAY GIN,12,750,13.5,20.25,24,486.0,18.0,4.75
INV-51816900026,2022-10-05,2590,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,POINT(-91.658111 42.010962),,LINN,1042100.0,IMPORTED DRY GINS,260,DIAGEO AMERICAS,28866,TANQUERAY GIN,12,750,13.99,20.99,24,503.76,18.0,4.75
INV-43739100001,2022-01-12,4312,I-80 LIQUOR / COUNCIL BLUFFS,2411 S 24TH ST #1,COUNCIL BLUFFS,51501.0,POINT(-95.8792 41.238092),78,POTTAWATTAMIE,1042100.0,IMPORTED DRY GINS,260,DIAGEO AMERICAS,28866,TANQUERAY GIN,12,750,13.5,20.25,24,486.0,18.0,4.75
INV-23795800009,2019-12-10,3889,WAL-MART 1005 / WAVERLY,700  29 ST SW,WAVERLY,50677,POINT(-92.478899 42.700321),9,BREMER,1042100.0,IMPORTED DRY GINS,260.0,DIAGEO AMERICAS,28866,TANQUERAY GIN,12,750,13.5,20.25,24,486.0,18.0,4.75
INV-30854500032,2020-10-08,3670,WAL-MART 2827 / CORALVILLE,2801 COMMERCE DR,CORALVILLE,52241.0,POINT(-91.610774 41.695806),52,JOHNSON,1041100.0,AMERICAN DRY GINS,55,SAZERAC NORTH AMERICA,29710,CALIBER GIN,12,750,3.21,4.82,24,115.68,18.0,4.75
INV-16364300024,2018-12-17,3805,WASHINGTON STREET MINI MART,1601 WASHINGTON ST,DAVENPORT,52804.0,POINT(-90.596253 41.535982),82,SCOTT,1041100.0,AMERICAN DRY GINS,370.0,PERNOD RICARD USA,32231,SEAGRAMS EXTRA DRY GIN MINI,12,500,3.3,4.95,36,178.2,18.0,4.75
INV-47185500016,2022-05-06,5327,MEGA SAVER,3540 W BROADWAY,COUNCIL BLUFFS,51501.0,POINT(-95.903766 41.261908),78,POTTAWATTAMIE,1041100.0,AMERICAN DRY GINS,370,PERNOD RICARD USA,32234,SEAGRAMS EXTRA DRY GIN,24,375,3.39,5.09,48,244.32,18.0,4.75
INV-16816400007,2019-01-08,5691,LOGAN AVE CONVENIENCE STORE / WATERLOO,735 LOGAN AVE,WATERLOO,50703.0,POINT(-92.337744 42.510453),7,BLACK HAWK,1041100.0,AMERICAN DRY GINS,370.0,PERNOD RICARD USA,32234,SEAGRAMS EXTRA DRY GIN,24,375,3.39,5.09,48,244.32,18.0,4.75
INV-17358600026,2019-02-05,5415,PRIME MART 7 / WATERLOO,1309 LAFAYETTE ST,WATERLOO,50703.0,POINT(-92.3272 42.494092),7,BLACK HAWK,1041100.0,AMERICAN DRY GINS,370.0,PERNOD RICARD USA,32234,SEAGRAMS EXTRA DRY GIN,24,375,3.39,5.09,48,244.32,18.0,4.75
INV-34889000020,2021-03-09,5415,PRIME MART 7 / WATERLOO,1309 LAFAYETTE ST,WATERLOO,50703.0,POINT(-92.3272 42.494092),7,BLACK HAWK,1041100.0,AMERICAN DRY GINS,370.0,PERNOD RICARD USA,32234,SEAGRAMS EXTRA DRY GIN,24,375,3.39,5.09,48,244.32,18.0,4.75
INV-34695900025,2021-03-02,5431,BREW COFFEE WINE SPIRIT AND CIGARS,346 PLYMOUTH ST SW,LE MARS,51031.0,POINT(-96.171858 42.793075),75,PLYMOUTH,1041100.0,AMERICAN DRY GINS,370.0,PERNOD RICARD USA,32235,SEAGRAMS EXTRA DRY GIN PET,12,750,6.99,10.49,24,251.76,18.0,4.75
INV-52939900025,2022-11-11,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT(-93.61378 41.60575),,POLK,1041200,FLAVORED GIN,772,INTERCONTINENTAL PACKAGING COMPANY/PRESTIGE BEVERAGE GROUP,33110,INDOGGO STRAWBERRY GIN,12,750,15.0,22.5,24,540.0,18.0,4.75
INV-17665700125,2019-02-20,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240.0,POINT(-91.530463 41.642764),52,JOHNSON,1032200.0,IMPORTED FLAVORED VODKA,370.0,PERNOD RICARD USA,33466,ABSOLUT LIME MINI,10,600,5.88,8.82,30,264.6,18.0,4.75
INV-31833000001,2020-11-10,5934,CITY LIQUOR / IOWA CITY,425 S GILBERT ST,IOWA CITY,52240.0,POINT(-91.530225 41.656031),52,JOHNSON,1032200.0,IMPORTED FLAVORED VODKA,115,CONSTELLATION BRANDS INC,33658,SVEDKA MANGO PINEAPPLE,12,750,8.75,13.13,24,315.12,18.0,4.75
INV-20151400014,2019-06-21,5740,NEW STAR / KNOXVILLE,901 WEST PLEASANT ST,KNOXVILLE,50138,POINT(-93.107862 41.320744),63,MARION,1032200.0,IMPORTED FLAVORED VODKA,115,CONSTELLATION BRANDS INC,33658,SVEDKA MANGO PINEAPPLE,12,750,8.25,12.38,24,297.12,18.0,4.75
INV-26574500065,2020-04-15,3899,WAL-MART 3762 / WDM,6365 STAGECOACH DR,WEST DES MOINES,50266.0,POINT(-93.795512 41.558107),77,POLK,1032200.0,IMPORTED FLAVORED VODKA,115,CONSTELLATION BRANDS INC,33658,SVEDKA MANGO PINEAPPLE,12,750,8.75,13.13,24,315.12,18.0,4.75
INV-42572100110,2021-12-03,4291,FAREWAY STORES #597 / CRESTON,105 E ADAMS ST,CRESTON,50801.0,,88,UNION,1032200.0,IMPORTED FLAVORED VODKA,115,CONSTELLATION BRANDS INC,33663,SVEDKA STRAWBERRY LEMONADE,12,750,8.0,12.0,24,288.0,18.0,4.75
INV-47324700004,2022-05-11,2512,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240.0,POINT(-91.530439 41.642724),52,JOHNSON,1032100.0,IMPORTED VODKAS,370,PERNOD RICARD USA,34006,ABSOLUT SWEDISH VODKA 80PRF,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-52120700005,2022-10-14,2677,HY-VEE FAST & FRESH EXPRESS / CENTERVILLE,607 N 18TH ST,CENTERVILLE,52544,POINT(-92.867967 40.737617),,APPANOOSE,1032100.0,IMPORTED VODKAS,370,PERNOD RICARD USA,34006,ABSOLUT SWEDISH VODKA 80PRF,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-51729800050,2022-10-03,6242,WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,375 SOUTH JORDAN CREEK PARKWAY,WEST DES MOINES,50266,POINT(-93.80947 41.56317),,DALLAS,1032100.0,IMPORTED VODKAS,370,PERNOD RICARD USA,34006,ABSOLUT SWEDISH VODKA 80PRF,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-14962200003,2018-10-10,2536,HY-VEE / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,50317,POINT(-93.519187 41.598109),77,POLK,1032100.0,IMPORTED VODKAS,370,PERNOD RICARD USA,34006,ABSOLUT SWEDISH VODKA 80PRF,12,750,11.49,17.24,24,413.76,18.0,4.75
INV-49076200094,2022-07-11,2648,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POINT(-93.77358 41.561217),77,POLK,1032100.0,IMPORTED VODKAS,370,PERNOD RICARD USA,34006,ABSOLUT SWEDISH VODKA 80PRF,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-26024500019,2020-03-20,5807,CASEY'S GENERAL STORE #1028 / MIDDLETOWN,75 MAIN ST,MIDDLETOWN,52638.0,,29,DES MOINES,1032100.0,IMPORTED VODKAS,370,PERNOD RICARD USA,34006,ABSOLUT SWEDISH VODKA 80PRF,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-25379600014,2020-02-21,5807,CASEY'S GENERAL STORE #1028 / MIDDLETOWN,75 MAIN ST,MIDDLETOWN,52638,,29,DES MOINES,1032100.0,IMPORTED VODKAS,370,PERNOD RICARD USA,34006,ABSOLUT SWEDISH VODKA 80PRF,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-50530800062,2022-08-22,2619,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266,POINT(-93.808855 41.598515),,POLK,1032200.0,IMPORTED FLAVORED VODKA,370,PERNOD RICARD USA,34014,ABSOLUT APEACH,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-59765100032,2023-06-27,2663,HY-VEE FOOD STORE / URBANDALE,8701 DOUGLAS,URBANDALE,50322.0,POINT(-93.738906371 41.630504742),,POLK,1032200.0,IMPORTED FLAVORED VODKA,370,PERNOD RICARD USA,34030,ABSOLUT CITRON,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-36099500061,2021-04-26,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT(-93.613739 41.60572),77,POLK,1032200.0,IMPORTED FLAVORED VODKA,370.0,PERNOD RICARD USA,34036,ABSOLUT PEARS,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-56797100008,2023-03-20,2619,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266.0,,,POLK,1032200,IMPORTED FLAVORED VODKA,370,PERNOD RICARD USA,34036,ABSOLUT PEARS,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-52364000027,2022-10-24,3773,BENZ DISTRIBUTING,501 7TH AVE SE,CEDAR RAPIDS,52401,POINT(-91.659875 41.97574),,LINN,1032200.0,IMPORTED FLAVORED VODKA,370,PERNOD RICARD USA,34036,ABSOLUT PEARS,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-61191300006,2023-08-11,2624,HY-VEE #2 / DUBUQUE,2395 NW ARTERIAL RD,DUBUQUE,52002,POINT(-90.744462996 42.516845992),,DUBUQUE,1032200.0,IMPORTED FLAVORED VODKA,370,PERNOD RICARD USA,34116,ABSOLUT MANDRIN,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-53216800007,2022-11-21,2635,HY-VEE #4 / DAVENPORT,4064 E 53RD ST,DAVENPORT,52807.0,POINT(-90.51377 41.57494),,SCOTT,1032200,IMPORTED FLAVORED VODKA,370,PERNOD RICARD USA,34116,ABSOLUT MANDRIN,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-19993100072,2019-06-14,3354,SAM'S CLUB 8238 / DAVENPORT,3845 ELMORE AVE.,DAVENPORT,52807,POINT(-90.527081 41.559731),82,SCOTT,1032100.0,IMPORTED VODKAS,420,MOET HENNESSY USA,34162,BELVEDERE VODKA,6,1000,20.62,30.93,18,556.74,18.0,4.75
INV-15231300026,2018-10-23,2572,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613.0,POINT(-92.435236 42.512789),7,BLACK HAWK,1032100.0,IMPORTED VODKAS,65.0,JIM BEAM BRANDS,34188,EFFEN VODKA,6,750,12.5,18.75,24,450.0,18.0,4.75
INV-35310300027,2021-03-25,2130,SYCAMORE CONVENIENCE,617 SYCAMORE,WATERLOO,50703.0,POINT(-92.335358 42.497854),7,BLACK HAWK,1032100.0,IMPORTED VODKAS,35.0,BACARDI USA INC,34422,GREY GOOSE,6,1000,22.75,34.13,18,614.34,18.0,4.75
INV-36216900061,2021-04-29,4988,HAPPY'S WINE & SPIRITS,5925 UNIVERSITY AVE,CEDAR FALLS,50613.0,POINT(-92.429331 42.512766),7,BLACK HAWK,1032100.0,IMPORTED VODKAS,35.0,BACARDI USA INC,34422,GREY GOOSE,6,1000,22.75,34.13,18,614.34,18.0,4.75
INV-18272200055,2019-03-21,3420,SAM'S CLUB 6344 / WINDSOR HEIGHTS,1101  73RD ST,WINDSOR HEIGHTS,50311,POINT(-93.718027 41.599172),77,POLK,1032100.0,IMPORTED VODKAS,35,BACARDI USA INC,34422,GREY GOOSE,6,1000,22.5,33.75,18,607.5,18.0,4.75
INV-42987400019,2021-12-16,5102,WILKIE LIQUORS,724 1ST  ST  SE,MOUNT VERNON,52314.0,POINT(-91.410401 41.918328),57,LINN,1032100.0,IMPORTED VODKAS,35,BACARDI USA INC,34422,GREY GOOSE,6,1000,19.0,28.5,18,513.0,18.0,4.75
INV-29485000046,2020-08-14,3944,SAM'S CLUB 4973 / DUBUQUE,4400 ASBURY RD,DUBUQUE,52002.0,POINT(-90.737821 42.515289),31,DUBUQUE,1032100.0,IMPORTED VODKAS,35,BACARDI USA INC,34422,GREY GOOSE,6,1000,22.75,34.13,18,614.34,18.0,4.75
INV-27712600009,2020-06-04,5135,FAREWAY STORES #155 / HUXLEY,911 HWY 69,HUXLEY,50124.0,,85,STORY,1032100.0,IMPORTED VODKAS,35.0,BACARDI USA INC,34433,GREY GOOSE,12,750,18.49,27.74,24,665.76,18.0,4.75
INV-19968500019,2019-06-13,2663,HY-VEE FOOD STORE / URBANDALE,8701 DOUGLAS,URBANDALE,50322,POINT(-93.739105 41.629364),77,POLK,1032200.0,IMPORTED FLAVORED VODKA,260,DIAGEO AMERICAS,34449,KETEL ONE CITROEN,12,750,12.5,18.75,24,450.0,18.0,4.75
INV-37450700091,2021-06-14,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT(-93.613739 41.60572),77,POLK,1032200.0,IMPORTED FLAVORED VODKA,260,DIAGEO AMERICAS,34449,KETEL ONE CITROEN,12,750,11.33,17.0,24,408.0,18.0,4.75
INV-28771400048,2020-07-16,2106,HILLSTREET NEWS AND TOBACCO,2217 COLLEGE,CEDAR FALLS,50613,POINT(-92.455796 42.517182),7,BLACK HAWK,1032100.0,IMPORTED VODKAS,434,LUXCO INC,34546,PEARL 80PRF,12,750,7.0,10.5,24,252.0,18.0,4.75
INV-47374800146,2022-05-12,4988,HAPPY'S WINE & SPIRITS,5925 UNIVERSITY AVE,CEDAR FALLS,50613.0,POINT(-92.429644 42.512762),7,BLACK HAWK,1031200.0,AMERICAN FLAVORED VODKA,434,LUXCO INC,34702,PEARL POMEGRANATE,12,750,7.0,10.5,24,252.0,18.0,4.75
INV-13872300019,2018-08-15,3773,BENZ DISTRIBUTING,501 7TH AVE SE,CEDAR RAPIDS,52401.0,POINT(-91.659875 41.97574),57,LINN,1032200.0,IMPORTED FLAVORED VODKA,277.0,STOLI GROUP,34786,STOLICHNAYA BLUEBERI,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-56248200010,2023-02-28,5926,GOPUFF / IOWA CITY,1907 STEVENS DR  UNITS C-E,IOWA CITY,52240.0,POINT(-91.53454 41.64172),,JOHNSON,1031100,AMERICAN VODKAS,115,CONSTELLATION BRANDS INC,34820,SVEDKA 80PRF,12,750,8.0,12.0,24,288.0,18.0,4.75
INV-27098300020,2020-05-08,5722,PETRO STOP - NEWTON,404 SOUTH 11TH AVENUE WEST,NEWTON,50208.0,POINT(-93.058352 41.690355),50,JASPER,1032100.0,IMPORTED VODKAS,115,CONSTELLATION BRANDS INC,34820,SVEDKA 80PRF,12,750,8.25,12.38,24,297.12,18.0,4.75
INV-28590200071,2020-07-09,2665,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,50263,POINT(-93.854477 41.615059),25,DALLAS,1032100.0,IMPORTED VODKAS,115,CONSTELLATION BRANDS INC,34820,SVEDKA 80PRF,12,750,8.25,12.38,24,297.12,18.0,4.75
INV-42745700003,2021-12-09,2515,HY-VEE FOOD STORE #1 / MASON CITY,2400 4TH ST SW,MASON CITY,50401.0,POINT(-93.235588 43.148451),17,CERRO GORDO,1032100.0,IMPORTED VODKAS,115,CONSTELLATION BRANDS INC,34820,SVEDKA 80PRF,12,750,8.0,12.0,24,288.0,18.0,4.75
INV-13613400005,2018-08-02,5251,NORTHSIDE LIQUOR,"1303, NORTH FEDERAL",MASON CITY,50401.0,POINT(-93.201061 43.163663),17,CERRO GORDO,1032100.0,IMPORTED VODKAS,115.0,CONSTELLATION BRANDS INC,34820,SVEDKA VODKA,12,750,8.25,12.38,24,297.12,18.0,4.75
INV-16461500007,2018-12-20,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT(-93.613739 41.60572),77,POLK,1032100.0,IMPORTED VODKAS,260.0,DIAGEO AMERICAS,34856,TANQUERAY STERLING VODKA,12,750,7.0,10.5,24,252.0,18.0,4.75
INV-21413900110,2019-08-22,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT(-93.613739 41.60572),77,POLK,1032100.0,IMPORTED VODKAS,260.0,DIAGEO AMERICAS,34856,TANQUERAY STERLING VODKA,12,750,7.0,10.5,24,252.0,18.0,4.75
INV-40313800002,2021-09-22,2647,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411.0,POINT(-91.701581 42.030129),57,LINN,1032200.0,IMPORTED FLAVORED VODKA,277,STOLI GROUP,34870,STOLICHNAYA RAZBERI,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-19744200043,2019-06-03,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314,POINT(-93.613739 41.60572),77,POLK,1032100.0,IMPORTED VODKAS,239,RUSSIAN STANDARD VODKA,35109,RUSSIAN STANDARD,12,750,9.43,14.15,24,339.6,18.0,4.75
INV-27958000002,2020-06-12,5624,CASEY'S GENERAL STORE #1065 / ASBURY,5505 ASBURY RD,DUBUQUE,52002.0,POINT(-90.758554 42.510488),31,DUBUQUE,1031100.0,AMERICAN VODKAS,55.0,SAZERAC NORTH AMERICA,35315,BARTON VODKA PET,12,750,3.37,5.06,24,121.44,18.0,4.75
INV-48893000092,2022-07-05,2552,HY-VEE FOOD STORE #3 / CEDAR RAPIDS,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,POINT(-91.658576 41.955859),57,LINN,1031100.0,AMERICAN VODKAS,421,SAZERAC COMPANY  INC,35315,BARTON VODKA PET,12,750,3.37,5.06,24,121.44,18.0,4.75
INV-31680900013,2020-11-04,5849,SUPER QUICK STOP - COUNCIL BLUFFS,2800 TWIN CITY DR. SUITE 10,COUNCIL BLUFFS,51501.0,POINT(-95.889605 41.216413),78,POTTAWATTAMIE,1031100.0,AMERICAN VODKAS,55,SAZERAC NORTH AMERICA,35315,BARTON VODKA PET,12,750,3.37,5.06,24,121.44,18.0,4.75
INV-55669300096,2023-02-08,2502,HY-VEE WINE AND SPIRITS (1022) / ANKENY,410 NORTH ANKENY BLVD,ANKENY,50021.0,POINT(-93.60044 41.73464),,POLK,1031100,AMERICAN VODKAS,421,SAZERAC COMPANY  INC,35315,BARTON VODKA PET,12,750,3.37,5.06,24,121.44,18.0,4.75
INV-46914500010,2022-04-27,6027,EDDYVILLE TRAVEL PLAZA BP,500 S MERINO AVE,EDDYVILLE,52553,POINT(-92.628767 41.154584),90,WAPELLO,1031100.0,AMERICAN VODKAS,421,SAZERAC COMPANY  INC,35315,BARTON VODKA PET,12,750,3.37,5.06,24,121.44,18.0,4.75
INV-52191300038,2022-10-18,2535,HY-VEE FOOD STORE #1 / WDM,1700 VALLEY WEST DR.,WEST DES MOINES,50266.0,POINT(-93.752 41.59776),,POLK,1031100,AMERICAN VODKAS,421,SAZERAC COMPANY  INC,35315,BARTON VODKA PET,12,750,3.37,5.06,24,121.44,18.0,4.75
INV-20383300045,2019-07-03,2673,HY-VEE # 6/ DES MOINES,420 COURT AVE,DES MOINES,50309,POINT(-93.622454 41.584842),77,POLK,1031100.0,AMERICAN VODKAS,55,SAZERAC NORTH AMERICA,35316,BARTON VODKA,12,750,3.37,5.06,24,121.44,18.0,4.75
INV-56797100007,2023-03-20,2619,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266.0,,,POLK,1032200,IMPORTED FLAVORED VODKA,370,PERNOD RICARD USA,35354,ABSOLUT MANGO,12,750,9.99,14.99,24,359.76,18.0,4.75
INV-22404900006,2019-10-08,2572,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613,POINT(-92.435236 42.512789),7,BLACK HAWK,1032200.0,IMPORTED FLAVORED VODKA,370.0,PERNOD RICARD USA,35354,ABSOLUT MANGO,12,750,9.99,14.99,24,413.76,18.0,4.75
INV-44762300004,2022-02-15,5926,GOPUFF / IOWA CITY,1907 STEVENS DR  UNITS C-E,IOWA CITY,52240.0,POINT(-91.534512 41.641762),52,JOHNSON,1031100.0,AMERICAN VODKAS,259,HEAVEN HILL BRANDS,35416,BURNETTS VODKA 80PRF,12,750,4.5,6.75,24,162.0,18.0,4.75
