Дата,Магазин,Код_товара,Количество,Сумма
2021-07-15,QUICK SHOP / CLEAR LAKE,INV-38383500018,24,597.36
2021-07-19,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,INV-38444900083,24,630.0
2021-07-20,HY-VEE / WAUKEE,INV-38493300104,24,121.68
2021-07-30,CASEY'S GENERAL STORE #2529 / LAMONI,INV-38813800005,24,188.4
2021-07-30,PRICE CHOPPER  /  MERLE HAY #1315,INV-38794400036,24,120.24
2021-08-09,FAREWAY STORES #989 / WAUKEE,INV-39028600022,24,486.0
2021-08-19,WAL-MART 1496 / WATERLOO,INV-39354900018,24,188.4
2021-08-26,CASEY'S GENERAL STORE #2772 / CEDAR RAPIDS,INV-39572700002,24,120.24
2021-09-01,ANOTHER ROUND / DEWITT,INV-39741900013,24,597.36
2021-09-02,HY-VEE / WAUKEE,INV-39761000081,24,486.0
2021-09-08,WAL-MART 1393 / OSKALOOSA,INV-39896400020,24,597.36
2021-09-09,FAREWAY STORES #950 / IOWA CITY,INV-39918600020,24,378.0
2021-09-10,WAL-MART 0753 / CEDAR FALL,INV-39939700024,24,597.36
2021-09-14,HY-VEE WINE AND SPIRITS / BETTENDORF,INV-40056200074,24,597.36
2021-09-15,FAREWAY STORES #551 / EAGLE GROVE,INV-40121000019,24,560.64
2021-09-21,WAL-MART 4606 / OSCEOLA,INV-40262300007,24,597.36
2021-09-22,HY-VEE #7 / CEDAR RAPIDS,INV-40313800002,24,359.76
2021-09-30,PRICE CHOPPER  /  MERLE HAY #1315,INV-40587500037,24,120.24
2021-10-04,WALGREENS #06678 / WEST DES MOINES,INV-40648400016,24,120.24
2021-10-13,KEOKUK SPIRITS,INV-40944700012,24,560.64
2021-10-18,BEER THIRTY STORM LAKE / STORM LAKE,INV-41070000034,48,576.0
2021-10-25,KIMMES COUNTRY STORE ALTA 05,INV-41315600003,24,120.24
2021-10-28,HY-VEE FOOD STORE / JOHNSTON,INV-41451100015,24,594.0
2021-11-08,TARGET STORE T-0069 / WDM,INV-41741600008,24,597.36
2021-11-15,WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,INV-41974000258,24,593.76
2021-11-15,LIQUOR TOBACCO & GAS,INV-41999200005,48,125.28
2021-12-03,CENTRAL CITY 2,INV-42549200024,24,810.0
2021-12-09,HY-VEE FOOD STORE #1 / MASON CITY,INV-42745700003,24,288.0
2021-12-10,HY-VEE FOOD STORE #1 / BURLINGTON,INV-42783300009,24,121.44
2021-12-16,WILKIE LIQUORS,INV-42987400019,18,513.0
2021-12-22,WAL-MART 0751 / PELLA,INV-43188900020,24,119.28
2021-12-23,HY-VEE FOOD STORE / KEOKUK,INV-43202000119,24,597.36
2022-01-11,"CENTRAL CITY LIQUOR, INC.",INV-43673900001,24,360.0
2022-01-12,I-80 LIQUOR / COUNCIL BLUFFS,INV-43739100001,24,486.0
2022-01-13,SYCAMORE CONVENIENCE,INV-43754900017,24,126.0
2022-01-13,HY-VEE FOOD STORE / ALTOONA,INV-43775000099,24,122.88
2022-01-27,HILL BROTHERS JIFFY MART / CEDAR RAPIDS,INV-44181200006,48,252.0
2022-02-08,CASEY'S GENERAL STORE #3452 / WEST U,INV-44535900029,24,120.24
2022-02-15,GOPUFF / IOWA CITY,INV-44762300004,24,162.0
2022-03-03,TARGET STORE T-2041 / DES MOINES,INV-45259800013,24,611.76
2022-03-18,HY-VEE WINE AND SPIRITS / BOONE,INV-45697000023,24,188.4
2022-03-18,CASEY'S GENERAL STORE #3309 / MONTEZ,INV-45713700030,24,120.24
2022-03-31,SYCAMORE CONVENIENCE,INV-46063500002,24,188.4
2022-04-04,KIMMES CARROLL COUNTRY STORE 1 / CARROLL,INV-46171300005,24,188.4
2022-04-07,HY-VEE / PLEASANT HILL,INV-46285000016,24,629.76
2022-04-13,CASEY'S GENERAL STORE #3052 / CLARION,INV-46450500009,24,120.24
2022-04-14,CASEY'S GENERAL STORE #2767 / CEDAR RAPIDS,INV-46483600023,48,133.92
2022-04-19,HY-VEE WINE AND SPIRITS / BETTENDORF,INV-46617100120,24,396.0
2022-04-22,CASEY'S GENERAL STORE #2488 / N ENGLISH,INV-46776900019,24,188.4
2022-04-27,EDDYVILLE TRAVEL PLAZA BP,INV-46914500010,24,121.44
2022-05-05,HY-VEE FOOD STORE #2 / STATE ANKENY,INV-47136400013,24,414.0
2022-05-05,SID'S GAS AND GROCERIES,INV-47125500011,48,133.92
